is_claimed,rating,review_count,name,categories,tagcategories,subcategories,tagsubcategories,id,neighborhoods
true,4,653,Mikkeller Bar,Gastropubs,gastropubs,1442646656,4159840279,mikkeller-bar-san-francisco,Union Square
true,4,1476,Plow,Breakfast & Brunch,breakfast_brunch,1442077956,4158217569,plow-san-francisco,Potrero Hill
true,4.5,234,Cafe du Soleil,French,french,,4156996154,cafe-du-soleil-san-francisco-4,SoMa
true,4,3189,Zazie,Breakfast & Brunch,breakfast_brunch,1441957077,4155645332,zazie-san-francisco,Cole Valley
true,4,346,Brenda's Meat & Three,Soul Food,soulfood,1442229383,4159268657,brendas-meat-and-three-san-francisco-3,NoPa
true,5,116,Little Heaven Deli,Creperies,creperies,1451468231,4158241293,little-heaven-deli-san-francisco,Mission
true,4,1105,Skool,Seafood,seafood,1450082771,4152558800,skool-san-francisco,SoMa
true,4.5,779,Leopold's,Austrian,austrian,1442083794,4154742000,leopolds-san-francisco-2,Russian Hill
true,4,140,Octavia,American (New),newamerican,1442231477,4154087507,octavia-san-francisco,Lower Pacific Heights
true,4,471,Souvla,Greek,greek,1442203734,4154005458,souvla-san-francisco,Hayes Valley
true,4,1063,Coqueta,Spanish,spanish,1442086362,4157048866,coqueta-san-francisco,Embarcadero
true,4,1212,The Little Chihuahua,Mexican,mexican,1442011132,4152558225,the-little-chihuahua-san-francisco,Lower Haight
true,4,3682,El Farolito,Mexican,mexican,1441946771,4158247877,el-farolito-san-francisco-2,Mission
false,4.5,244,Eight AM,American (New),newamerican,,4152924888,eight-am-san-francisco,Russian Hill
false,4,836,Cordon Bleu,Vietnamese,vietnamese,1441956231,4156735637,cordon-bleu-san-francisco,Nob Hill
true,4,1428,Nopalito,Mexican,mexican,,4154370303,nopalito-san-francisco,Lower Haight
true,4.5,71,No No Burger,Burgers,burgers,,4157109280,no-no-burger-san-francisco,SoMa
true,4,399,Sweet Woodruff,American (New),newamerican,1453702972,4152929090,sweet-woodruff-san-francisco,Lower Nob Hill
true,4,552,Street Restaurant,American (New),newamerican,,4157751055,street-restaurant-san-francisco,Russian Hill
true,4,108,Delarosa,Pizza,pizza,1449200505,4158727363,delarosa-san-francisco-3,Union Square
